"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"apontar";-0,631809524350431;1,6518207102532;0,61392949746605;-0,337494476841991;0,882355116467768;0,32794348071627;NA;NA;NA;NA;NA;NA;NA;1,14174544281522;NA
"apenas";-0,58295317226633;-0,891557327492977;0,67492081873223;-0,462278942473752;-0,707000490118068;0,535208824962894;NA;NA;NA;NA;NA;NA;NA;0,774120310930148;NA
"acercar";-0,621439977183052;-0,502133092224546;1,57416653192149;-0,352028461188176;-0,284444429482526;0,891721553541152;NA;NA;NA;NA;NA;NA;NA;1,01093019840587;NA
"três";-0,520581088262019;-0,327394027635949;-1,48387649703657;-0,324094542998163;-0,203823419942592;-0,923806657630111;NA;NA;NA;NA;NA;NA;NA;0,909914725387107;NA
"somente";-0,52626805947335;-0,554438678856296;-1,18398325832715;-0,373420429137295;-0,393409262944862;-0,840110906328503;NA;NA;NA;NA;NA;NA;NA;0,817516224575301;NA
"perante";-0,569304441359136;-0,346650164564143;-0,0448229541703635;-0,852195839034682;-0,518903079584257;-0,0670957966637916;NA;NA;NA;NA;NA;NA;NA;0,463652553275444;NA
"nada";-0,571763829163998;-2,37079588861908;1,21516265134816;-0,209841621243062;-0,870099904066368;0,445973823153086;NA;NA;NA;NA;NA;NA;NA;1,62151085685353;NA
"esse";0,200649338710764;0,146767808752697;-0,247608350270674;0,571859818449523;0,418294986700842;-0,705695155250354;NA;NA;NA;NA;NA;NA;NA;0,216809142929825;NA
"até";-0,54075984307368;0,242680691981949;-1,22713515167063;-0,396805720609785;0,178077362979887;-0,900463032492439;NA;NA;NA;NA;NA;NA;NA;0,785861829683464;NA
"6";-0,567664849489228;1,00278031813915;-0,884813357849379;-0,390731196114497;0,690226906772778;-0,609028693535713;NA;NA;NA;NA;NA;NA;NA;0,8728721694877;NA
"tanto";0,214298069617958;0,691674971681532;-0,967352123173267;0,17734778141324;0,572413096886364;-0,800556688149418;NA;NA;NA;NA;NA;NA;NA;0,686381222796233;NA
"embora";-0,616798100553823;0,64616656053513;0,764237785936578;-0,52466755858916;0,549649279810545;0,650084319275461;NA;NA;NA;NA;NA;NA;NA;0,722908248180471;NA
"desde";-0,57903879191189;0,548691015698451;-0,285026880430551;-0,683549630635581;0,647724377628241;-0,336471444678548;NA;NA;NA;NA;NA;NA;NA;0,556100921116526;NA
"21";-0,503520174628026;0,353739926025094;-2,38355621316481;-0,204541009415381;0,143696966249955;-0,968253147352435;NA;NA;NA;NA;NA;NA;NA;1,35883199275157;NA
"si";0,137324459784515;1,47052344221839;0,831139303205248;0,0810305704389025;0,867706696634471;0,490427502562856;NA;NA;NA;NA;NA;NA;NA;0,995554589991667;NA
"quanto";-0,520581088262019;-0,327394027635949;-1,48387649703657;-0,324094542998163;-0,203823419942592;-0,923806657630111;NA;NA;NA;NA;NA;NA;NA;0,909914725387107;NA
"p";0,390678395923377;-1,75402342197303;0,961680906222772;0,191682789576703;-0,860595584539581;0,471839960210102;NA;NA;NA;NA;NA;NA;NA;1,20810756878797;NA
"fim";-0,664906606699725;1,13294685462067;1,88829492742315;-0,289053573793201;0,492523813037946;0,82089483191694;NA;NA;NA;NA;NA;NA;NA;1,31985774284451;NA
"esta";-0,52626805947335;-0,554438678856296;-1,18398325832715;-0,373420429137295;-0,393409262944862;-0,840110906328503;NA;NA;NA;NA;NA;NA;NA;0,817516224575301;NA
"cuja";-0,555655710451942;0,198256998364691;-0,764566727072957;-0,575377794080806;0,205293803760924;-0,791703762916457;NA;NA;NA;NA;NA;NA;NA;0,590544555471147;NA
"19";0,711492470952502;-1,54843259975768;0,877186991180976;0,37122806758986;-0,807909662110197;0,45768078362816;NA;NA;NA;NA;NA;NA;NA;1,16456453805872;NA
