"";"classe 1";"classe 2";"classe 3";"classe 4"
"atribuir";0,561;0,976;0,951;0,479
"atividade";0,383;0,015;0,234;0,479
"writ";0,313;0,005;0,169;0,412
"vez";0,13;0,5;0,169;0,412
"testemunha";0,313;0,082;0,771;0,412
"tender";0,561;0,976;0,951;0,479
"suscitado";0,801;0,082;0,169;0,412
"salientar";0,383;0,976;0,951;0,337
"responsabilidade";0,383;0,015;0,234;0,479
"relacionar";0,383;0,209;0,234;0
"regime";0;0,209;0,234;0,479
"ramal";0,313;0,146;0,169;0
"prévio";0,801;0,146;0,771;0,038
"pressuposto";0,042;0,209;0,234;0,337
"pressupor";0,005;0,697;0,169;0,412
"prejudicar";0,561;0,231;0,234;0,479
"plano";0,383;0,231;0,234;0,337
"passível";0,313;0,146;0,003;0,412
"palestra";0,383;0,209;0,234;0
"ofensa";0,13;0,5;0,169;0,412
"ocasião";0,313;0,5;0,427;0,412
"locomoção";0,801;0,697;0,427;0,412
"lils";0,383;0,209;0,234;0
"inviável";0,561;0,976;0,234;0,337
"investigativo";0,313;0,146;0,169;0
"interrogatório";0,383;0,976;0,19;0,479
"intenção";0,383;0,231;0,951;0,479
"inimizade";0,801;0,082;0,169;0,412
"inexistência";0,561;0,976;0,951;0,479
"inexistir";0;0,146;0,169;0,412
"incursão";0,801;0,082;0,169;0,412
"implicar";0,801;0,5;0,169;0,529
"específico";0,042;0,976;0,234;0,479
"escorreito";0,313;0,697;0,06;0,412
"episódio";0,313;0,146;0,771;0
"entendimento";0,801;0,146;0,427;0,529
"enfatizar";0,383;0,976;0,951;0,337
"elencados";0,383;0,976;0,951;0,337
"documento";0,383;0,209;0,19;0,337
"determinar";0,801;0,697;0,771;0,529
"deferimento";0,313;0,146;0,169;0
"declinar";0,13;0,697;0,771;0,412
"declarar";0,313;0,5;0,427;0,412
"controlo";0,313;0,146;0,003;0,412
"constituir";0,801;0,697;0,427;0,412
"constatar";0,313;0,146;0,06;0,529
"conferir";0,801;0,697;0,427;0,412
"coator";0,005;0,697;0,169;0,412
"caráter";0,561;0,976;0,951;0,479
"captar";0,313;0,146;0,169;0
"autorizado";0,313;0,146;0,169;0
"are";0,383;0,231;0,951;0,479
"apto";0,313;0,082;0,771;0,412
"aprofundado";0,13;0,697;0,169;0,529
"antecedente";0,801;0,146;0,06;0,412
"amplo";0,383;0,015;0,234;0,479
"aforar";0,313;0,005;0,169;0,412
"afirmar";0,313;0,5;0,771;0,529
"advocacia";0,383;0,209;0,234;0
"adotado";0,313;0,146;0,169;0
"violação";0,561;0,976;0,951;0,479
"titularizado";0,383;0,209;0,234;0
"telefone";0,383;0,209;0,234;0
"suficiente";0,561;0,209;0,19;0,479
"substituto";0,383;0,209;0,01;0,479
"submetido";0,042;0,209;0,234;0,337
"submeter";0,383;0,976;0,19;0,479
"seguinte";0,383;0,231;0,951;0,479
"revolvimento";0,042;0,976;0,234;0,479
"relatório";0,383;0,976;0,234;0,009
"rejeitar";0,042;0,976;0,234;0,479
"regra";0,383;0,209;0,01;0,479
"registro";0,561;0,209;0,951;0,337
"registrar";0,383;0,015;0,234;0,479
"produzir";0,561;0,231;0,234;0,479
"preservação";0,383;0,209;0,01;0,479
"originário";0,561;0,231;0,234;0,479
"nulidade";0,383;0,231;0,951;0,479
"norma";0,561;0,976;0,951;0,479
"motivo";0,383;0,976;0,19;0,479
"motivar";0,561;0,976;0,951;0,479
"monocrático";0,042;0,209;0,951;0,479
"material";0,561;0,976;0,951;0,479
"manutenção";0,383;0,976;0,19;0,479
"manter";0,561;0,209;0,951;0,337
"liminar";0,383;0,209;0,01;0,479
"liberdade";0,561;0,976;0,951;0,479
"juntar";0,383;0,209;0,19;0,337
"irresignação";0,383;0,976;0,951;0,337
"indevido";0;0,209;0,234;0,479
"independente";0,383;0,231;0,951;0,479
"incidência";0,561;0,976;0,234;0,337
"inadmissibilidade";0,561;0,231;0,234;0,479
"impugnar";0,561;0,231;0,234;0,479
"imperioso";0,383;0,976;0,19;0,479
"idôneo";0,042;0,209;0,951;0,479
"histórico";0,383;0,209;0,234;0
"grave";0,383;0,976;0,19;0,479
"fundamentação";0,561;0,209;0,19;0,479
"fossar";0,561;0,976;0,951;0,479
"figura";0,383;0,976;0,234;0,009
"estreito";0,042;0,976;0,234;0,479
"eleger";0,383;0,976;0,19;0,479
"ed";0,383;0,976;0,19;0,479
"diálogo";0,383;0,209;0,951;0,009
"dimensão";0,383;0,231;0,951;0,479
"dilma";0,383;0,209;0,951;0,009
"diligência";0,383;0,231;0,234;0,337
"determinação";0,383;0,231;0,234;0,337
"demonstração";0,383;0,209;0,19;0,337
"debate";0,383;0,976;0,19;0,479
"constatação";0,561;0,209;0,19;0,479
"consignar";0,383;0,209;0,01;0,479
"condenatório";0,561;0,976;0,951;0,479
"concreto";0,561;0,209;0,19;0,479
"coação";0,042;0,209;0,951;0,479
"capital";0,561;0,231;0,234;0,479
"apreciado";0,042;0,209;0,951;0,479
"afastar";0,561;0,976;0,951;0,479
"*gru_02";1;1;1;1
"*vot_02";0,025;0,002;0;0,519
"*vot_01";0,025;0,002;0;0,519
