"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"318";318;0;0;0;0;0;0;0;0;0
"319";319;0;0;0;0;0;0;0;0;0
"320";320;0;0;0;0;0;0;0;0;0
"321";321;0;0;0;0;0;3;3;3;3
"322";322;0;0;0;0;0;3;3;3;3
"323";323;0;0;0;0;0;3;3;3;3
"324";324;0;0;0;0;0;3;3;3;3
"325";325;0;0;0;0;0;3;3;3;3
"326";326;0;0;0;0;0;3;3;3;3
"327";327;0;0;0;0;0;3;3;3;3
"328";328;0;0;0;0;0;3;3;3;3
"329";329;0;0;0;0;0;3;3;3;3
"330";330;0;0;0;0;0;3;3;3;3
"331";331;0;0;0;0;0;3;3;3;3
"332";332;0;0;0;0;0;3;3;3;3
"333";333;0;0;0;0;0;3;3;3;3
"334";334;0;0;0;0;0;0;0;0;0
"335";335;0;0;0;0;0;0;0;0;1
"336";336;0;4;4;4;4;4;4;4;4
"337";337;0;0;0;0;0;0;0;0;0
"338";338;0;0;0;0;0;0;0;0;1
"339";339;0;0;0;0;0;0;0;0;0
"340";340;0;0;0;0;0;0;0;0;0
"341";341;0;0;0;0;0;0;0;0;0
"342";342;0;0;0;0;0;0;0;0;1
"343";343;0;0;0;0;0;0;0;0;1
"344";344;0;0;0;0;0;3;3;3;3
"345";345;0;0;0;0;0;3;3;3;3
"346";346;0;0;0;0;0;0;0;0;1
"347";347;0;0;0;0;0;0;0;0;2
"348";348;0;0;0;0;0;0;0;0;1
"349";349;0;0;0;0;0;3;3;3;3
"350";350;0;0;0;0;0;3;3;3;3
"351";351;0;0;0;0;0;0;0;0;1
"352";352;0;0;0;0;0;0;0;0;1
"353";353;0;0;0;0;0;0;0;0;2
"354";354;0;0;0;0;0;0;0;0;2
"355";355;0;0;0;0;0;0;0;0;1
"356";356;0;0;0;0;0;0;0;0;0
"357";357;0;0;0;0;0;0;0;0;0
"358";358;0;0;0;0;0;3;3;3;3
"359";359;0;0;0;0;0;3;3;3;3
"360";360;0;0;0;0;0;0;0;0;0
"361";361;0;0;0;0;0;3;3;3;3
"362";362;0;0;0;0;0;3;3;3;3
"363";363;0;0;0;0;0;3;3;3;3
"364";364;0;0;0;0;0;3;3;3;3
"365";365;0;0;0;0;0;0;0;0;1
"366";366;0;0;0;0;0;3;3;3;3
"367";367;0;0;0;0;0;3;3;3;3
"368";368;0;0;0;0;0;3;3;3;3
"369";369;0;0;0;0;0;3;3;3;3
"370";370;0;0;0;0;0;3;3;3;3
"371";371;0;0;0;0;0;3;3;3;3
"372";372;0;0;0;0;0;3;3;3;3
"373";373;0;0;0;0;0;3;3;3;3
"374";374;0;0;0;0;0;3;3;3;3
"375";375;0;0;0;0;0;3;3;3;3
"376";376;0;0;0;0;0;3;3;3;3
"377";377;0;0;0;0;0;0;0;0;0
"378";378;0;0;0;0;0;0;0;0;1
"379";379;0;0;0;0;0;0;0;0;2
"380";380;0;0;0;0;0;0;0;0;1
"381";381;0;0;0;0;0;3;3;3;3
"382";382;0;0;0;0;0;0;0;0;1
"383";383;0;0;0;0;0;3;3;3;3
"384";384;0;0;0;0;0;3;3;3;3
"385";385;0;0;0;0;0;3;3;3;3
"386";386;0;0;0;0;0;3;3;3;3
"387";387;0;0;0;0;0;0;0;0;1
"388";388;0;0;0;0;0;3;3;3;3
"389";389;0;0;0;0;0;0;0;0;1
"390";390;0;0;0;0;0;0;0;0;1
"391";391;0;0;0;0;0;0;0;0;1
"392";392;0;0;0;0;0;0;0;0;1
"393";393;0;0;0;0;0;3;3;3;3
"394";394;0;0;0;0;0;3;3;3;3
"395";395;0;0;0;0;0;3;3;3;3
"396";396;0;0;0;0;0;0;0;0;1
"397";397;0;0;0;0;0;0;0;0;0
"398";398;0;0;0;0;0;3;3;3;3
"399";399;0;0;0;0;0;0;0;0;1
"400";400;0;4;4;4;4;4;4;4;4
"401";401;0;0;0;0;0;0;0;0;1
"402";402;0;4;4;4;4;4;4;4;4
"403";403;0;4;4;4;4;4;4;4;4
"404";404;0;4;4;4;4;4;4;4;4
"405";405;0;4;4;4;4;4;4;4;4
"406";406;0;4;4;4;4;4;4;4;4
"407";407;0;0;0;0;0;0;0;0;1
"408";408;0;4;4;4;4;4;4;4;4
"409";409;0;4;4;4;4;4;4;4;4
"410";410;0;4;4;4;4;4;4;4;4
"411";411;0;4;4;4;4;4;4;4;4
"412";412;0;4;4;4;4;4;4;4;4
"413";413;0;4;4;4;4;4;4;4;4
"414";414;0;4;4;4;4;4;4;4;4
"415";415;0;4;4;4;4;4;4;4;4
"416";416;0;4;4;4;4;4;4;4;4
"417";417;0;0;0;0;0;0;0;0;1
"418";418;0;4;4;4;4;4;4;4;4
"419";419;0;4;4;4;4;4;4;4;4
"420";420;0;4;4;4;4;4;4;4;4
